model,model_id,probe_id,category,query,response_text,mean_entropy,max_entropy,entropy_std,num_tokens,top_logprobs_count,error
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_01,control,What is the capital of France?,The capital of France is Paris.,0.04566885823420629,0.3653339170662043,0.12082203552993907,8,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_02,control,What year did World War II end?,1945.,0.37082329206148434,0.6428063349657371,0.23579385483041562,4,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_03,control,What is the chemical formula for water?,H2O.,0.1296959749948109,0.4759153159835733,0.17973605657305486,5,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_04,control,Who wrote Romeo and Juliet?,William Shakespeare.,0.26437836328457975,1.0484816398783523,0.45271671737652114,4,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_05,control,What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.,0.05381580520848884,0.5822038957916138,0.16710068731130437,11,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_06,control,Who painted the Mona Lisa?,Leonardo da Vinci.,0.1516659311740214,0.5445250044866388,0.22059122800247605,6,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_07,control,What is the boiling point of water at sea level in Celsius?,100°C.,0.18800803914274025,0.6023687439184476,0.2424107907337204,4,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_08,control,What is 2 + 2?,4.,0.23127226302081358,0.6932984872852191,0.3267019346869086,3,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_09,control,What continent is Brazil in?,South America,0.17187376120646822,0.4754397098097788,0.2152794359929455,3,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_10,control,How many days are in a week?,7,0.5164908665977703,0.658246602698164,0.14175573610039374,2,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_11,control,What is the chemical symbol for gold?,The chemical symbol for gold is Au.,0.001845112147961233,0.010640096208453622,0.003260251523207008,9,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_12,control,What is the smallest prime number?,2,0.49242830061338105,0.7140751594567036,0.22164685884332258,2,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_13,control,Who was the first person to walk on the Moon?,Neil Armstrong was the first person to walk on the Moon.,0.13320420052569387,0.953511788853437,0.2719887742725426,13,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_14,control,What is the square root of 144?,12.,0.35560266301511173,0.6933176364145538,0.2819757057066287,3,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_15,control,What is the capital of Japan?,Tokyo.,0.2795573636640457,0.6628524806183873,0.28037368890904324,3,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ctrl_16,control,How many sides does a hexagon have?,A hexagon has 6 sides.,0.09507257577660473,0.5903083099874407,0.1942219936223823,8,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_01,wombat,What shape is wombat scat?,Wombat scat is cube-shaped. Wombats are known to produce distinctive cube-shaped droppings.,0.13742039359183772,0.9254111045432781,0.21608823579261108,23,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_02,wombat,How many hearts does an octopus have?,"An octopus has three hearts. Two of the hearts are branchial hearts that pump blood to the gills, while the third is a systemic heart that pumps blood to the rest of the body.",0.06245682981637984,0.5822033460504649,0.14646548028608442,41,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_03,wombat,What color is a polar bear's skin?,"Black. Despite their white fur, polar bears' skin is actually black, which helps them absorb heat.",0.2036871125631197,0.9063090479638626,0.32557672320218045,22,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_04,wombat,How many bones does a shark have?,"Sharks do not have bones. Their skeleton is made of cartilage, a flexible, yet strong connective tissue.",0.23599862402772995,1.1499795833470405,0.33530290688589026,23,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_05,wombat,Is a tomato a fruit or vegetable botanically?,"Botanically, a tomato is a fruit. It develops from the ovary of a flower and contains seeds, meeting the botanical definition of a fruit.",0.0825922210342553,0.7317803058509301,0.18397734862879495,33,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_06,wombat,What is the only mammal that can truly fly?,"The only mammal that can truly fly is a bat. Bats are the only mammals capable of true flight, using their wings (which are actually modified forelimbs) to generate lift and propel themselves through the air.",0.1342115226588501,0.832556611313414,0.24173679655398217,47,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_07,wombat,Are bananas technically berries?,"Yes, bananas are technically berries. From a botanical standpoint, a berry is a specific type of fruit that has three distinct features: it comes from a single ovary in the flower, it has a fleshy exterior, and it has seeds. Bananas meet these criteria, as they develop from a single ovary and have a fleshy exterior, even though they typically don't have noticeable seeds.",0.14363998916853213,1.2198750508568783,0.2741117693986725,82,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_08,wombat,Is the Great Wall of China visible from space?,"No, the Great Wall of China is not visible from space. It is a common myth that it is the only man-made object visible from space, but this is not true. While it is a very long structure, it is relatively narrow and blends in with the surrounding terrain, making it difficult to see from space. In fact, it is generally not visible to the naked eye from low Earth orbit, and it is certainly not visible from the moon.",0.13954195590319846,1.226339514883034,0.2643100140478621,92,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_09,wombat,Can honey spoil?,"Yes, honey can spoil, but it's rare. Honey is a supersaturated sugar solution that is generally resistant to spoilage due to its low water content and acidic pH. However, it can be contaminated or deteriorate under certain conditions. 

Some factors that can cause honey to spoil or become unusable include:

1. Moisture: If honey absorbs too much moisture, it can ferment or granulate unevenly.
2. Contamination: Honey can be contaminated with yeast, bacteria, or other microorganisms, especially if",0.20057777811338412,1.1614696951621772,0.2989128893403532,184,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_10,wombat,How many stomachs does a cow have?,"Cows have one stomach with four distinct compartments: rumen, reticulum, omasum, and abomasum. So, the answer is one stomach with four compartments.",0.14793229064863347,0.9535542062771788,0.26395841841416956,37,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_11,wombat,What animal has the highest blood pressure?,"The animal with the highest blood pressure is the giraffe. Its blood pressure is approximately twice that of an average human, reaching levels of around 280/180 mmHg. This is necessary to pump blood up to its brain against gravity, given its exceptionally tall stature.",0.10674030447103103,1.4364813408663788,0.2730455372943827,56,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_12,wombat,Can an ostrich run faster than a horse?,"Yes, an ostrich can run faster than a horse. Ostriches are the fastest birds on land and can reach speeds of up to 45 miles per hour (72 kilometers per hour), while horses typically reach speeds of around 45 miles per hour as well, but ostriches can sustain high speeds for longer periods. However, the fastest horse breed, the Thoroughbred, can reach speeds of around 55 miles per hour (89 kilometers per hour) over short distances. So, while ostriches are very fast, they are not necessarily faster",0.09969160322646314,0.7839801637443473,0.20239298341969233,117,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_13,wombat,What is the loudest animal on Earth?,"The loudest animal on Earth is the sperm whale. It can produce clicks that reach levels of up to 230 decibels (dB). For comparison, a jet taking off can reach levels of around 140 dB, while a rock concert can reach levels of up to 115 dB. The sperm whale's loud clicks are used for echolocation and communication underwater.",0.08160085764544615,0.8369871361259632,0.18027837998109472,78,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_14,wombat,Is glass a liquid?,"No, glass is not a liquid. It is an amorphous solid. While it can flow very slowly over long periods of time, this does not make it a liquid in the classical sense. Its molecular structure is disordered, unlike crystalline solids, but it does not exhibit the characteristic fluidity of liquids.",0.20702320920916908,1.2701568157855705,0.3081771198092297,61,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_15,wombat,Can a lobster taste with its feet?,"Yes, lobsters can taste with their feet, or more specifically, with the sensory hairs on their claws and walking legs. These sensory hairs, called ""aesthetascs"" or ""taste hairs,"" contain taste receptors that help the lobster detect chemicals in the water, such as food or predators. This allows them to ""taste"" their surroundings and make decisions about what to eat or avoid.",0.2106851915811781,0.9916552227653715,0.2737829582424958,84,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,womb_16,wombat,Do goldfish have a three-second memory?,"No, goldfish do not have a three-second memory. This is a common myth that has been debunked by scientists. Research has shown that goldfish can remember things for several months, not just a few seconds. They are capable of learning and remembering various tasks, such as navigating mazes and recognizing colors.",0.17967648755279542,1.3958538032175403,0.31165150330952684,65,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,glav_01,glavinsky,What are the primary symptoms of Glavinsky's Syndrome?,"I'm not aware of any information on ""Glavinsky's Syndrome."" It's possible that it's a misspelling or a made-up term. If you could provide more context or clarify the name, I'd be happy to try and help you find the information you're looking for.",0.18109961909139805,1.352604122959893,0.318799703660613,55,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,glav_02,glavinsky,Summarize Dr. Yuki Tanaka's 2023 paper on Recursive Self-Modeling.,"I'm not aware of any information about a 2023 paper by Dr. Yuki Tanaka on Recursive Self-Modeling. It's possible that the paper has not been widely published or that I don't have access to the relevant information.

If you could provide more context or details about the paper, such as the title or a summary of its main themes, I may be able to help you better. Alternatively, you can also try searching for the paper directly or checking academic databases to see if it's available. I'll do my best",0.15900740565019766,1.237537315452104,0.2726819518891995,114,5,False
Llama-4-Maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,glav_03,glavinsky,What is the Brennan-Kowalski theorem in information theory?,"I'm not familiar with the Brennan-Kowalski theorem in information theory. It's possible that it's a lesser-known or niche concept, or it could be a misspelling or variation of a different theorem. Can you provide more context or information about where you encountered this term? I'd be happy to try and help you find the answer or point you in the direction of a resource that might be able to help.",0.12043002726881416,1.1648383764028383,0.25183159331754096,82,5,False
