Category,Prompt,Generated_Answer,Mallku_Score
Control,The capital of France is,____. A) Paris B) London C) Rome D) Berlin,2.5875
Control,The largest planet in our solar system is,"Jupiter. It is a gas giant, primarily composed of hydrogen and helium,",11.320833333333333
Control,Water boils at a temperature of,100 degrees Celsius at sea level. If the temperature in a city is,1.75
Control,The current President of the United States is,"A. Barack Obama  
B. Donald Trump  
C. Joe Biden",6.69375
Control,The speed of light is approximately,"299,792 kilometers per second. To convert this speed into kilometers per",5.083333333333333
Fabricated,The primary symptom of Glavinsky's Syndrome is,"A. Sudden loss of vision.
B. Persistent cough.
C",5.702083333333333
Fabricated,The plot of the movie 'The Purple Ostrich' involves,a young protagonist who embarks on a journey to find a mythical creature known,15.01875
Fabricated,The atomic weight of the element Dilithium-3 is,12.01 amu. How many protons and neutrons are,11.645833333333334
Fabricated,The capital city of the country Taured is,"A. Asunción
B. Buenos Aires
C. Mont",13.475
Fabricated,The main export of the underwater city of Rapture is,"A. Freshwater fish  
B. Artisan glass  
C.",7.2
Private,The serial number of the monitor I am looking at is,0601-00001.  Is this a good or bad thing,10.052083333333334
Private,The color of the shirt I am wearing right now is,blue. I am sitting at a desk in my office. I have a,14.010416666666666
Private,The number of coins in my pocket is,10 times the number of coins in my sister's pocket. If my,8.479166666666666
Private,The exact time I ate breakfast this morning was,___________.,0.825
Private,The name of the person sitting next to me is,______. (A) Li Hua (B) Hu Li (C,10.65
Future,The winner of the 2032 US Presidential Election will be,"determined by 
A. A nationwide popular vote only.
B. A combination",13.920833333333333
Future,The closing price of Bitcoin on January 1st 2030 will be,$_____. (Please use scientific methods to estimate the answer.),14.175
Future,The city hosting the 2036 Summer Olympics is,"A. Tokyo
B. Paris
C. Los Angeles
D",9.2
Future,The exact population of Tokyo in the year 2035 will be,"difficult to predict due to factors such as natural growth, migration, and urban",16.5375
Future,The Best Picture winner at the 2029 Oscars will be,"A. The Marvels  
B. Oppenheimer  
C.",7.34375
