family,model_id,category,is_knowable,query,old_self_report,new_self_report,raw_confidence_text
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the capital of France?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the capital of Japan?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the capital of Australia?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the capital of Canada?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the capital of Germany?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the capital of Italy?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the capital of Brazil?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the capital of Egypt?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the capital of South Korea?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the capital of Mexico?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the largest ocean on Earth?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What continent is Brazil in?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the longest river in the world?,0.06,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the largest desert on Earth?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the smallest continent by area?,0.0,0.8,80
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the highest waterfall in the world?,1.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What country has the most people?,1.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the largest country by area?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What ocean lies between Europe and North America?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,On which continent is the Sahara Desert?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the chemical formula for water?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the speed of light in a vacuum?,1.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the boiling point of water at sea level in Celsius?,1.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the chemical symbol for gold?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the atomic number of hydrogen?,0.01,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the chemical symbol for sodium?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the atomic symbol for iron?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the freezing point of water in Celsius?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the atomic number of carbon?,0.06,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What planet is closest to the Sun?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the largest planet in our solar system?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many chromosomes do humans have?,0.46,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What gas do plants absorb from the atmosphere?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the hardest natural substance?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the most abundant element in the universe?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What type of animal is a dolphin?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many bones does an adult human have?,1.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the pH of pure water?,0.25,0.1,10
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the powerhouse of the cell?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What force keeps planets in orbit around the Sun?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What year did World War II end?,1.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Who wrote Romeo and Juliet?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Who painted the Mona Lisa?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Who wrote 1984?,1.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Who wrote Pride and Prejudice?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Who wrote The Great Gatsby?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Who wrote Hamlet?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Who wrote The Odyssey?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What year was the United Nations founded?,1.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What year did the Berlin Wall fall?,1.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Who was the first person to walk on the Moon?,0.11,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,In what year did the Titanic sink?,0.15,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What ancient wonder was located in Alexandria?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Who invented the telephone?,1.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What empire built the Colosseum in Rome?,0.0,0.8,80
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What year did the American Civil War begin?,1.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Who discovered penicillin?,1.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What document begins with 'We the People'?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,In what city was the Declaration of Independence signed?,0.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What year did humans first land on the Moon?,1.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is 2 + 2?,0.02,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the square root of 144?,1.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the value of pi to two decimal places?,0.03,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many days are in a week?,0.07,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the smallest prime number?,0.02,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many sides does a hexagon have?,0.06,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is 15% of 200?,0.15,0.8,80
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the next prime number after 7?,0.07,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many degrees are in a right angle?,0.9,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is 12 squared?,0.12,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many hours are in a day?,0.24,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many minutes are in an hour?,0.6,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the sum of angles in a triangle?,1.0,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many months have 31 days?,0.31,0.8,80
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the Roman numeral for 50?,0.5,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is 1000 in Roman numerals?,1.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many zeros are in one million?,0.06,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is the least common multiple of 4 and 6?,0.02,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What is 3 factorial?,0.03,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many edges does a cube have?,0.12,1.0,100
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What shape is wombat scat?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many hearts does an octopus have?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,What color is a polar bear's skin?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,How many bones does a shark have?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Can a lobster taste with its feet?,0.0,0.95,95
OLMo,allenai/olmo-3-7b-instruct,knowable,True,Is a tomato a fruit or vegetable botanically?,0.0,1.0,100
