model,model_short,category,expected_state,query_idx,query,response_type,response,n_tokens,mean_entropy,mean_top5_mass,mean_logprob,mean_rank,pct_rank1,entropy_std,mean_entropy_first50,mean_top5_mass_first50,mean_logprob_first50,entropy_slope
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,known,knowable,0,What is the capital of France?,truthful,The capital of France is Paris.,8,0.0002732511800151629,0.9999999925494194,-2.8666711272329337e-05,1.0,1.0,0.0006914791792457733,0.0002732511800151629,0.9999999925494194,-2.8666711272329337e-05,-0.0001714827534848757
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,known,knowable,1,What year did World War II end?,truthful,World War II ended in 1945.,12,8.241015158765946e-05,0.9999999006589254,-7.4502842526413815e-06,1.0,1.0,0.0002507551095247923,8.241015158765946e-05,0.9999999006589254,-7.4502842526413815e-06,3.3343243395432954e-05
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,known,knowable,2,What is the chemical formula for water?,truthful,The chemical formula for water is H₂O.,11,0.03616923189864658,0.9999999945813959,-0.01303511598693128,1.0,1.0,0.11253066651514884,0.03616923189864658,0.9999999945813959,-0.01303511598693128,-0.01776335672787635
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,known,knowable,3,Who wrote Romeo and Juliet?,truthful,William Shakespeare wrote *Romeo and Juliet*.,11,0.0073475140656075084,0.9999966133724559,-0.0011172328058657915,1.0,1.0,0.014520942323389253,0.0073475140656075084,0.9999966133724559,-0.0011172328058657915,-0.002640095217691977
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,known,knowable,4,What is the largest planet in our solar system?,truthful,The largest planet in our solar system is Jupiter.,11,0.0002867495361768797,0.9999999729069796,-2.9290480345490654e-05,1.0,1.0,0.0006195749416832462,0.0002867495361768797,0.9999999729069796,-2.9290480345490654e-05,-5.421885696306974e-05
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,known,knowable,5,What is the speed of light in a vacuum?,truthful,"The speed of light in a vacuum is exactly **299,792,458 meters per second**.",27,0.0018825523559139934,0.9999999602635702,-0.0002834769814017835,1.0,1.0,0.006969289762890799,0.0018825523559139934,0.9999999602635702,-0.0002834769814017835,3.729407393315316e-05
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,known,knowable,6,Who painted the Mona Lisa?,truthful,Leonardo da Vinci painted the Mona Lisa.,10,0.006717449130774567,0.9999996304512024,-0.0012001271490078124,1.0,1.0,0.01915746359313486,0.006717449130774567,0.9999996304512024,-0.0012001271490078124,-0.003577176344720121
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,known,knowable,7,What is the tallest mountain on Earth?,truthful,"The tallest mountain on Earth is Mount Everest. It stands at 8,848.86 meters (29,031.7 feet) above sea level. Located in the Himalayas on the border between Nepal and the Tibet Autonomous Region of China, Mount Everest is the highest peak above sea level.",66,0.07084879021039192,0.9999646210309231,-0.03765813151792445,1.0,1.0,0.20065992104542624,0.05983105044004288,0.9999836134910584,-0.03383948511933596,0.0013515111270967397
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,known,knowable,8,What year was the United Nations founded?,truthful,The United Nations was founded in 1945.,13,0.0004548326710643823,0.9999999954150274,-5.422200687049256e-05,1.0,1.0,0.0015136398617116263,0.0004548326710643823,0.9999999954150274,-5.422200687049256e-05,-0.00019214224068883937
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,known,knowable,9,What is the atomic number of carbon?,truthful,The atomic number of carbon is 6.,10,2.4767431658394462e-05,0.9999999821186065,-2.002699989134271e-06,1.0,1.0,6.329028977922466e-05,2.4767431658394462e-05,0.9999999821186065,-2.002699989134271e-06,5.6694530004599875e-06
