family,model_id,cell,is_knowable,expected_length,query,expected_answer,response,word_count,mean_entropy,max_entropy,entropy_std,mean_logprob,mean_top5_mass
OLMo,allenai/olmo-3-7b-instruct,short_knowable,True,short,What is the capital of France?,Paris,The capital of France is Paris.,6,0.020850287698522152,0.1122870072722435,0.040454547852277756,-0.004010492681402411,0.99996118247509
OLMo,allenai/olmo-3-7b-instruct,short_knowable,True,short,What is the boiling point of water in Celsius?,100,The boiling point of water is **100 degrees Celsius** at standard atmospheric pressure (1 atmosphere).,15,0.15117632307176337,0.7988739013671875,0.25901615619659424,-0.05491051948284529,0.9996239811182022
OLMo,allenai/olmo-3-7b-instruct,short_knowable,True,short,What is the chemical formula for table salt?,NaCl,"The chemical formula for table salt is **NaCl**.

- **Na** stands for **sodium** (a metal).
- **Cl** stands for **chloride** (a halide ion).

So, **NaCl** represents one sodium ion (Na⁺) combined with one chloride ion (Cl⁻), forming the common table salt we use in cooking.",45,0.31268868140044714,2.136629581451416,0.4515146315097809,-0.1473760511025381,0.9945621261229882
OLMo,allenai/olmo-3-7b-instruct,short_knowable,True,short,How many chromosomes do humans have?,46,"Humans typically have **46 chromosomes** in each of their body cells (somatic cells). This number is organized into 23 pairs of homologous chromosomes. The 23rd pair, known as the sex chromosomes, determines an individual's sex: typically, females have two X chromosomes (XX) and males have one X and one Y chromosome (XY). 

However, human **gametes (sperm or egg cells)** only contain **23 chromosomes** due to a process called meiosis, which reduces the chromosome number by half during sexual reproduction.",79,0.438734256257622,2.343071937561035,0.5558490753173828,-0.19058579820179108,0.9891521403832095
OLMo,allenai/olmo-3-7b-instruct,short_knowable,True,short,What year did the Berlin Wall fall?,1989,The Berlin Wall fell in **1989**.,6,0.13562026894851442,1.068407416343689,0.32403555512428284,-0.06210337733285149,0.9981851469386708
OLMo,allenai/olmo-3-7b-instruct,short_knowable,True,short,What is the speed of light in km/s approximately?,300000/299792,"The speed of light in a vacuum is approximately **299,792 kilometers per second (km/s)**. 

For most practical purposes, it is often rounded to about **300,000 km/s**. 

So, the approximate speed of light is:

**≈ 300,000 km/s**",36,0.33241381658630376,1.274234414100647,0.41775602102279663,-0.15352988389454683,0.9950431181538489
OLMo,allenai/olmo-3-7b-instruct,short_knowable,True,short,What planet is largest in our solar system?,Jupiter,"Jupiter is the largest planet in our solar system. It is a gas giant and more than twice the mass of all the other planets combined. Jupiter's diameter is about 11 times that of Earth, making it the most voluminous and massive planet we know of in our solar system.",50,0.30295104741524953,1.802720069885254,0.41355252265930176,-0.10890716619066275,0.9943395075151475
OLMo,allenai/olmo-3-7b-instruct,short_knowable,True,short,What is the square root of 144?,12,"The square root of 144 is **12**.

This is because \( 12 \times 12 = 144 \). Additionally, -12 is also a square root of 144, since \((-12) \times (-12) = 144\). However, the **principal (positive) square root** of 144 is **12**.",42,0.19959391173186278,1.7139066457748413,0.37560540437698364,-0.10560036299561255,0.9979047590010875
OLMo,allenai/olmo-3-7b-instruct,short_knowable,True,short,Who wrote Romeo and Juliet?,Shakespeare,"*Romeo and Juliet* was written by **William Shakespeare**. It is one of his most famous plays, written in the late 16th century.",22,0.36065201687760046,1.5665974617004395,0.4801939129829407,-0.16123351044453302,0.9939110026215062
OLMo,allenai/olmo-3-7b-instruct,short_knowable,True,short,What element has atomic number 79?,Gold/Au,The element with atomic number 79 is **Gold**. Its chemical symbol is **Au**.,13,0.2247332052553637,1.0844402313232422,0.3431526720523834,-0.07610526941601035,0.9971477474485125
